ID,BirdID,Year,Date,SunriseTimeDaylightSavings,TimeCapt,TimeOfDay,Sex,Stage,Agecat,Ageminyears,PCV,PCVcntr,PCVcntr2,PCV_percent,PCV_percent_cntr,PCV_percent_cntr2,Hb,Hbcntr,Hbcntr2,Hbdiv10,Hbdiv10cntr,Hbdiv10cntr2,SMI,SMIcntr,SMIcntr2,Muscle,Musclecntr,Musclecntr2,Fat,Fatcntr,Fatcntr2,PC1,PC1sq,PC2,PC2sq,NumberIndependent
122,026-33920,3(2008-09),11-Dec-08,5:54,7:01,67,0,pre,A1Y,3,0.420,-0.059277,0.003514,42.0,-5.90,34.81,156,-16.67,277.8447,15.6,-1.70,2.8900,9.74,-0.3196,0.1022,2.0,-0.11,0.0111,4.0,1.89,3.5553,2.225079,4.950978,-0.567450,0.321999,1
124,026-33922,2(2007-08),15-Feb-08,6:30,9:18,168,0,B,A1Y,2,0.485,0.005723,0.000033,48.5,0.60,0.36,157,-15.67,245.5074,15.7,-1.60,2.5600,11.21,1.1528,1.3290,3.0,0.89,0.8003,3.5,1.39,1.9197,1.798353,3.234075,1.769829,3.132294,3
125,026-33925,2(2007-08),13-Feb-08,6:29,7:54,85,1,L,A1Y,2,0.495,0.015723,0.000247,49.5,1.60,2.56,171,-1.67,2.7845,17.1,-0.20,0.0400,9.79,-0.2721,0.0740,3.0,0.89,0.8003,4.0,1.89,3.5553,0.498886,0.248887,1.738030,3.020748,0
126,026-33934,1(2006-07),07-Dec-06,5:53,17:30,697,0,pre,1Y,1,0.520,0.040723,0.001658,52.0,4.10,16.81,192,19.33,373.7001,19.2,1.90,3.6100,9.41,-0.6492,0.4215,2.5,0.39,0.1557,1.5,-0.61,0.3776,-1.958175,3.834450,0.779200,0.607152,0
127,026-33934,3(2008-09),24-Feb-09,6:33,11:06,273,0,I,A1Y,3,0.460,-0.019277,0.000372,46.0,-1.90,3.61,186,13.33,177.7242,18.6,1.30,1.6900,11.08,1.0206,1.0416,2.0,-0.11,0.0111,3.0,0.89,0.7842,0.469564,0.220490,0.840095,0.705759,4
129,026-33936,2(2007-08),15-Feb-08,6:30,9:18,168,0,N,A1Y,2,0.480,0.000723,0.000001,48.0,0.10,0.01,162,-10.67,113.8206,16.2,-1.10,1.2100,10.60,0.5436,0.2955,2.0,-0.11,0.0111,2.5,0.39,0.1486,0.779971,0.608354,0.074897,0.005610,0
132,026-33944,1(2006-07),28-Feb-07,6:34,6:55,21,0,N,1Y,1,0.500,0.020723,0.000429,50.0,2.10,4.41,170,-2.67,7.1218,17.0,-0.30,0.0900,7.65,-2.4132,5.8234,1.5,-0.61,0.3665,0.5,-1.61,2.6065,-2.033721,4.136022,-2.284976,5.221115,0
134,026-33946,1(2006-07),02-Mar-07,6:35,8:15,100,0,I,1Y,1,0.460,-0.019277,0.000372,46.0,-1.90,3.61,164,-8.67,75.1459,16.4,-0.90,0.8100,9.92,-0.1395,0.0195,3.0,0.89,0.8003,2.5,0.39,0.1486,1.086894,1.181338,0.594688,0.353653,3
135,026-33947,2(2007-08),22-Apr-08,5:46,8:12,146,1,L,A1Y,2,0.470,-0.009277,0.000086,47.0,-0.90,0.81,166,-6.67,44.4712,16.6,-0.70,0.4900,10.15,0.0908,0.0082,2.0,-0.11,0.0111,3.0,0.89,0.7842,0.735537,0.541015,0.040543,0.001644,0
140,026-33950,2(2007-08),12-May-08,5:52,9:45,233,0,N,A1Y,2,0.500,0.020723,0.000429,50.0,2.10,4.41,165,-7.67,58.8086,16.5,-0.80,0.6400,10.20,0.1436,0.0206,3.0,0.89,0.8003,0.5,-1.61,2.6065,-0.170393,0.029034,0.392909,0.154377,2
